iter	Passed	Remaining
857	2393	396
858	2395	393
859	2396	390
860	2397	387
861	2399	384
862	2400	381
863	2401	378
864	2403	375
865	2411	373
866	2413	370
867	2414	367
868	2415	364
869	2416	361
870	2418	358
871	2424	355
872	2425	352
873	2426	349
874	2428	346
875	2429	343
876	2430	340
877	2432	337
878	2445	336
879	2446	333
880	2447	330
881	2448	327
882	2453	325
883	2457	322
884	2458	319
885	2459	316
886	2461	313
887	2462	310
888	2463	307
889	2465	304
890	2469	302
891	2470	299
892	2471	296
893	2473	293
894	2474	290
895	2476	287
896	2477	284
897	2478	281
898	2485	279
899	2487	276
900	2488	273
901	2490	270
902	2491	267
903	2492	264
904	2493	261
905	2500	259
906	2501	256
907	2503	253
908	2505	250
909	2506	247
910	2507	244
911	2508	242
912	2513	239
913	2515	236
914	2516	233
915	2518	230
916	2520	228
917	2522	225
918	2530	223
919	2532	220
920	2534	217
921	2536	214
922	2549	212
923	2550	209
924	2552	206
925	2553	204
926	2554	201
927	2558	198
928	2560	195
929	2561	192
930	2569	190
931	2575	187
932	2576	185
933	2577	182
934	2578	179
935	2579	176
936	2581	173
937	2592	171
938	2593	168
939	2595	165
940	2596	162
941	2605	160
942	2607	157
943	2609	154
944	2610	151
945	2611	149
946	2625	146
947	2626	144
948	2627	141
949	2628	138
950	2634	135
951	2636	132
952	2637	130
953	2638	127
954	2640	124
955	2650	121
956	2652	119
957	2655	116
958	2657	113
959	2665	111
960	2667	108
961	2668	105
962	2669	102
963	2670	99
964	2671	96
965	2673	94
966	2674	91
967	2678	88
968	2679	85
969	2680	82
970	2682	80
971	2684	77
972	2685	74
973	2698	72
974	2701	69
975	2712	66
976	2714	63
977	2716	61
978	2766	59
979	2767	56
980	2773	53
981	2775	50
982	2776	48
983	2777	45
984	2778	42
985	2779	39
986	2780	36
987	2782	33
988	2783	30
989	2791	28
990	2792	25
991	2793	22
992	2794	19
993	2795	16
994	2796	14
995	2797	11
996	2798	8
997	2810	5
998	2811	2
999	2813	0
